=== 预测数据记录 ===
开始时间: 2026-01-18 03:48:08
预测时间步长: 0.02 秒 (predictionTimeStep字段=0.01)
飞船初始位置: (-45.86, -1.42, 0.00)
飞船初始速度: (14.98, -0.82, 0.00)
GravityEngine 参数:
  - physToWorldFactor: 1
  - massScale: 1
  - fixedDeltaTime: 0.02
CoreDeflector 数量: 1
  - CoreDeflector[0]: 位置=(-5.85, -2.52, 0.00), 质量=500, 引导强度=0.12, trigger半径=10.29
---
格式: [步数] [时间] [位置] [速度] [速度大小] [GravityEngine加速度] [CoreDeflector效果] [ShipState缩放] [其他效果]
---
[40] t=0.8000 pos=(-33.793,-2.067,0.000) vel=(15.210,-0.793,0.000) speed=15.231 gravAcc=(0.382,0.051,0.000) 
[41] t=0.8200 pos=(-33.489,-2.083,0.000) vel=(15.218,-0.792,0.000) speed=15.238 gravAcc=(0.388,0.052,0.000) 
[42] t=0.8400 pos=(-33.184,-2.098,0.000) vel=(15.226,-0.790,0.000) speed=15.246 gravAcc=(0.395,0.052,0.000) 
[43] t=0.8600 pos=(-32.880,-2.114,0.000) vel=(15.234,-0.789,0.000) speed=15.254 gravAcc=(0.402,0.053,0.000) 
[44] t=0.8800 pos=(-32.575,-2.130,0.000) vel=(15.242,-0.788,0.000) speed=15.262 gravAcc=(0.409,0.054,0.000) 
[45] t=0.9000 pos=(-32.270,-2.146,0.000) vel=(15.250,-0.787,0.000) speed=15.271 gravAcc=(0.416,0.055,0.000) 
[46] t=0.9200 pos=(-31.965,-2.161,0.000) vel=(15.259,-0.786,0.000) speed=15.279 gravAcc=(0.424,0.056,0.000) 
[47] t=0.9400 pos=(-31.659,-2.177,0.000) vel=(15.267,-0.785,0.000) speed=15.288 gravAcc=(0.432,0.057,0.000) 
[48] t=0.9600 pos=(-31.354,-2.193,0.000) vel=(15.276,-0.784,0.000) speed=15.296 gravAcc=(0.440,0.058,0.000) 
[49] t=0.9800 pos=(-31.048,-2.208,0.000) vel=(15.285,-0.783,0.000) speed=15.305 gravAcc=(0.448,0.058,0.000) 
[50] t=1.0000 pos=(-30.742,-2.224,0.000) vel=(15.294,-0.782,0.000) speed=15.314 gravAcc=(0.457,0.059,0.000) 
[51] t=1.0200 pos=(-30.436,-2.240,0.000) vel=(15.304,-0.780,0.000) speed=15.324 gravAcc=(0.466,0.060,0.000) 
[52] t=1.0400 pos=(-30.130,-2.255,0.000) vel=(15.313,-0.779,0.000) speed=15.333 gravAcc=(0.475,0.061,0.000) 
[53] t=1.0600 pos=(-29.823,-2.271,0.000) vel=(15.323,-0.778,0.000) speed=15.343 gravAcc=(0.484,0.062,0.000) 
[54] t=1.0800 pos=(-29.517,-2.286,0.000) vel=(15.333,-0.777,0.000) speed=15.352 gravAcc=(0.494,0.063,0.000) 
[55] t=1.1000 pos=(-29.210,-2.302,0.000) vel=(15.343,-0.775,0.000) speed=15.362 gravAcc=(0.505,0.064,0.000) 
[56] t=1.1200 pos=(-28.903,-2.317,0.000) vel=(15.353,-0.774,0.000) speed=15.373 gravAcc=(0.515,0.066,0.000) 
[57] t=1.1400 pos=(-28.595,-2.333,0.000) vel=(15.364,-0.773,0.000) speed=15.383 gravAcc=(0.526,0.067,0.000) 
[58] t=1.1600 pos=(-28.288,-2.348,0.000) vel=(15.374,-0.771,0.000) speed=15.394 gravAcc=(0.538,0.068,0.000) 
[59] t=1.1800 pos=(-27.980,-2.364,0.000) vel=(15.385,-0.770,0.000) speed=15.405 gravAcc=(0.550,0.069,0.000) 
[60] t=1.2000 pos=(-27.672,-2.379,0.000) vel=(15.397,-0.768,0.000) speed=15.416 gravAcc=(0.562,0.070,0.000) 
[61] t=1.2200 pos=(-27.364,-2.394,0.000) vel=(15.408,-0.767,0.000) speed=15.427 gravAcc=(0.575,0.072,0.000) 
[62] t=1.2400 pos=(-27.056,-2.410,0.000) vel=(15.420,-0.766,0.000) speed=15.439 gravAcc=(0.588,0.073,0.000) 
[63] t=1.2600 pos=(-26.747,-2.425,0.000) vel=(15.432,-0.764,0.000) speed=15.451 gravAcc=(0.602,0.074,0.000) 
[64] t=1.2800 pos=(-26.438,-2.440,0.000) vel=(15.444,-0.763,0.000) speed=15.463 gravAcc=(0.617,0.076,0.000) 
[65] t=1.3000 pos=(-26.129,-2.455,0.000) vel=(15.457,-0.761,0.000) speed=15.476 gravAcc=(0.632,0.077,0.000) 
[66] t=1.3200 pos=(-25.820,-2.471,0.000) vel=(15.470,-0.759,0.000) speed=15.489 gravAcc=(0.648,0.079,0.000) 
[67] t=1.3400 pos=(-25.510,-2.486,0.000) vel=(15.483,-0.758,0.000) speed=15.502 gravAcc=(0.664,0.080,0.000) 
[68] t=1.3600 pos=(-25.200,-2.501,0.000) vel=(15.497,-0.756,0.000) speed=15.515 gravAcc=(0.681,0.082,0.000) 
[69] t=1.3800 pos=(-24.890,-2.516,0.000) vel=(15.511,-0.755,0.000) speed=15.529 gravAcc=(0.699,0.083,0.000) 
[70] t=1.4000 pos=(-24.579,-2.531,0.000) vel=(15.525,-0.753,0.000) speed=15.543 gravAcc=(0.718,0.085,0.000) 
[71] t=1.4200 pos=(-24.269,-2.546,0.000) vel=(15.540,-0.751,0.000) speed=15.558 gravAcc=(0.738,0.087,0.000) 
[72] t=1.4400 pos=(-23.957,-2.561,0.000) vel=(15.555,-0.749,0.000) speed=15.573 gravAcc=(0.759,0.089,0.000) 
[73] t=1.4600 pos=(-23.646,-2.576,0.000) vel=(15.571,-0.748,0.000) speed=15.589 gravAcc=(0.781,0.091,0.000) 
[74] t=1.4800 pos=(-23.334,-2.591,0.000) vel=(15.587,-0.746,0.000) speed=15.605 gravAcc=(0.804,0.093,0.000) 
[75] t=1.5000 pos=(-23.022,-2.606,0.000) vel=(15.603,-0.744,0.000) speed=15.621 gravAcc=(0.828,0.095,0.000) 
[76] t=1.5200 pos=(-22.710,-2.621,0.000) vel=(15.620,-0.742,0.000) speed=15.638 gravAcc=(0.853,0.097,0.000) 
[77] t=1.5400 pos=(-22.397,-2.635,0.000) vel=(15.638,-0.740,0.000) speed=15.655 gravAcc=(0.880,0.099,0.000) 
[78] t=1.5600 pos=(-22.084,-2.650,0.000) vel=(15.656,-0.738,0.000) speed=15.674 gravAcc=(0.908,0.102,0.000) 
[79] t=1.5800 pos=(-21.770,-2.665,0.000) vel=(15.675,-0.736,0.000) speed=15.692 gravAcc=(0.938,0.104,0.000) 
[80] t=1.6000 pos=(-21.457,-2.680,0.000) vel=(15.694,-0.734,0.000) speed=15.711 gravAcc=(0.970,0.107,0.000) 
[81] t=1.6200 pos=(-21.142,-2.694,0.000) vel=(15.714,-0.731,0.000) speed=15.731 gravAcc=(1.003,0.110,0.000) 
[82] t=1.6400 pos=(-20.828,-2.709,0.000) vel=(15.735,-0.729,0.000) speed=15.752 gravAcc=(1.039,0.113,0.000) 
[83] t=1.6600 pos=(-20.512,-2.723,0.000) vel=(15.757,-0.727,0.000) speed=15.773 gravAcc=(1.077,0.116,0.000) 
[84] t=1.6800 pos=(-20.197,-2.738,0.000) vel=(15.779,-0.724,0.000) speed=15.796 gravAcc=(1.117,0.119,0.000) 
[85] t=1.7000 pos=(-19.881,-2.752,0.000) vel=(15.802,-0.722,0.000) speed=15.819 gravAcc=(1.160,0.123,0.000) 
[86] t=1.7200 pos=(-19.564,-2.767,0.000) vel=(15.826,-0.719,0.000) speed=15.843 gravAcc=(1.206,0.127,0.000) 
[87] t=1.7400 pos=(-19.247,-2.781,0.000) vel=(15.851,-0.717,0.000) speed=15.868 gravAcc=(1.255,0.131,0.000) 
[88] t=1.7600 pos=(-18.930,-2.795,0.000) vel=(15.878,-0.714,0.000) speed=15.894 gravAcc=(1.307,0.135,0.000) 
[89] t=1.7800 pos=(-18.612,-2.809,0.000) vel=(15.905,-0.711,0.000) speed=15.921 gravAcc=(1.363,0.140,0.000) 
[90] t=1.8000 pos=(-18.293,-2.824,0.000) vel=(15.933,-0.708,0.000) speed=15.949 gravAcc=(1.424,0.145,0.000) 
[91] t=1.8200 pos=(-17.974,-2.838,0.000) vel=(15.963,-0.705,0.000) speed=15.979 gravAcc=(1.489,0.151,0.000) 
[92] t=1.8400 pos=(-17.654,-2.852,0.000) vel=(15.994,-0.702,0.000) speed=16.010 gravAcc=(1.559,0.157,0.000) 
[93] t=1.8600 pos=(-17.333,-2.866,0.000) vel=(16.027,-0.699,0.000) speed=16.042 gravAcc=(1.636,0.164,0.000) 
[94] t=1.8800 pos=(-17.012,-2.880,0.000) vel=(16.061,-0.696,0.000) speed=16.076 gravAcc=(1.718,0.171,0.000) 
[95] t=1.9000 pos=(-16.690,-2.893,0.000) vel=(16.098,-0.692,0.000) speed=16.112 gravAcc=(1.808,0.180,0.000) 
[96] t=1.9200 pos=(-16.367,-2.907,0.000) vel=(16.136,-0.688,0.000) speed=16.150 gravAcc=(1.906,0.189,0.000) 
