=== 飞船飞行数据记录 ===
开始时间: 2026-01-17 00:40:51
记录间隔: 0.02 秒
飞船初始位置: (-45.86, 5.80, 0.00)
飞船初始速度: (14.17, 4.91, 0.00)
GravityEngine 参数:
  - physToWorldFactor: 1
  - massScale: 1
  - fixedDeltaTime: 0.02
CoreDeflector 数量: 1
  - GravityCore: 位置=(-46.59, 10.45, 0.00), 质量=500, 引导强度=0.12
---
格式: [帧数] [时间] [位置] [速度] [速度大小] [GravityEngine加速度] [CoreDeflector效果] [ShipState缩放] [其他效果]
---
[102] t=71.2502 pos=(1.920,18.477,0.000) vel=(8.809,-1.770,0.001) speed=8.985 gravAcc=(-1.271,-5.025,-0.001)   Capture:dist=9.85,radius=20.10 
[103] t=71.2902 pos=(2.263,18.403,0.000) vel=(8.551,-1.940,0.001) speed=8.768 gravAcc=(-1.442,-4.963,-0.001)   Capture:dist=9.87,radius=20.10 
[104] t=71.3302 pos=(2.604,18.322,0.001) vel=(8.493,-2.136,0.001) speed=8.758 gravAcc=(-1.609,-4.891,-0.001)   Capture:dist=9.89,radius=20.10 
[105] t=71.3502 pos=(2.774,18.278,0.001) vel=(8.462,-2.233,0.001) speed=8.752 gravAcc=(-1.691,-4.851,-0.001)   Capture:dist=9.90,radius=20.10 
[106] t=71.3902 pos=(3.104,18.186,0.001) vel=(8.211,-2.399,0.002) speed=8.554 gravAcc=(-1.846,-4.768,-0.001)   Capture:dist=9.92,radius=20.10 
[107] t=71.4302 pos=(3.451,18.080,0.001) vel=(8.132,-2.599,0.002) speed=8.538 gravAcc=(-2.005,-4.672,-0.001)   Capture:dist=9.95,radius=20.10 
[108] t=71.4702 pos=(3.751,17.979,0.001) vel=(7.895,-2.749,0.002) speed=8.360 gravAcc=(-2.138,-4.581,-0.001)   Capture:dist=9.98,radius=20.10 
[109] t=71.4902 pos=(3.909,17.924,0.001) vel=(7.853,-2.840,0.002) speed=8.351 gravAcc=(-2.206,-4.531,-0.001)   Capture:dist=10.00,radius=20.10 
[110] t=71.5302 pos=(4.221,17.806,0.001) vel=(7.765,-3.019,0.002) speed=8.331 gravAcc=(-2.337,-4.426,-0.001)   Capture:dist=10.03,radius=20.10 
[111] t=71.5702 pos=(4.527,17.683,0.001) vel=(7.527,-3.174,0.003) speed=8.169 gravAcc=(-2.461,-4.318,-0.001)   Capture:dist=10.07,radius=20.10 
[112] t=71.6102 pos=(4.826,17.552,0.001) vel=(7.430,-3.344,0.003) speed=8.148 gravAcc=(-2.578,-4.206,-0.001)   Capture:dist=10.11,radius=20.10 
[113] t=71.6502 pos=(5.121,17.415,0.001) vel=(7.327,-3.510,0.003) speed=8.125 gravAcc=(-2.688,-4.091,-0.001)   Capture:dist=10.15,radius=20.10 
[114] t=71.6702 pos=(5.283,17.335,0.001) vel=(7.138,-3.587,0.004) speed=7.989 gravAcc=(-2.747,-4.026,-0.001)   Capture:dist=10.17,radius=20.10 
[115] t=71.7157 pos=(5.405,17.272,0.001) vel=(6.975,-3.646,0.004) speed=7.870 gravAcc=(-2.791,-3.976,-0.001)   Capture:dist=10.19,radius=20.10 
[116] t=71.9157 pos=(5.542,17.199,0.002) vel=(6.814,-3.719,0.005) speed=7.763 gravAcc=(-2.840,-3.919,-0.001)   Capture:dist=10.21,radius=20.10 
[117] t=72.1157 pos=(5.676,17.123,0.002) vel=(6.663,-3.793,0.005) speed=7.668 gravAcc=(-2.887,-3.864,-0.001)   Capture:dist=10.22,radius=20.10 
[118] t=72.3157 pos=(5.807,17.047,0.002) vel=(6.520,-3.870,0.006) speed=7.582 gravAcc=(-2.933,-3.808,-0.001)   Capture:dist=10.24,radius=20.10 
[119] t=72.5157 pos=(5.951,16.959,0.002) vel=(6.377,-3.956,0.006) speed=7.505 gravAcc=(-2.984,-3.747,-0.001)   Capture:dist=10.26,radius=20.10 
[120] t=72.7157 pos=(6.061,16.889,0.002) vel=(6.255,-4.025,0.006) speed=7.438 gravAcc=(-3.022,-3.699,-0.001)   Capture:dist=10.27,radius=20.10 
[121] t=72.9157 pos=(6.199,16.797,0.002) vel=(6.123,-4.113,0.006) speed=7.376 gravAcc=(-3.070,-3.638,-0.001)   Capture:dist=10.29,radius=20.10 
[122] t=73.1157 pos=(6.305,16.725,0.002) vel=(6.011,-4.183,0.007) speed=7.323 gravAcc=(-3.107,-3.592,-0.001)   Capture:dist=10.30,radius=20.10 
[123] t=73.3157 pos=(6.438,16.629,0.002) vel=(5.888,-4.271,0.007) speed=7.274 gravAcc=(-3.153,-3.532,-0.001)   Capture:dist=10.32,radius=20.10 
[124] t=73.5157 pos=(6.540,16.554,0.003) vel=(5.784,-4.341,0.007) speed=7.232 gravAcc=(-3.189,-3.486,-0.002)   Capture:dist=10.33,radius=20.10 
[125] t=73.7157 pos=(6.654,16.466,0.003) vel=(5.676,-4.419,0.007) speed=7.193 gravAcc=(-3.228,-3.433,-0.002)   Capture:dist=10.34,radius=20.10 
[126] t=73.8590 pos=(7.108,16.268,0.003) vel=(22.678,-9.931,0.015) speed=24.757 gravAcc=(-3.265,-3.180,-0.002)   Capture:dist=10.52,radius=20.10 
[127] t=73.8990 pos=(8.069,15.844,0.004) vel=(22.542,-10.055,0.015) speed=24.683 gravAcc=(-3.261,-2.658,-0.002)   Capture:dist=10.95,radius=20.10 
[128] t=73.9390 pos=(8.906,15.477,0.005) vel=(20.849,-9.219,0.025) speed=22.796 gravAcc=(-3.179,-2.236,-0.002)   Capture:dist=11.40,radius=20.10 
[129] t=73.9790 pos=(9.685,15.130,0.006) vel=(20.735,-9.296,0.025) speed=22.723 gravAcc=(-3.059,-1.884,-0.002)   Capture:dist=11.85,radius=20.10 
[130] t=73.9990 pos=(10.100,14.943,0.006) vel=(20.675,-9.331,0.025) speed=22.684 gravAcc=(-2.983,-1.713,-0.002)   Capture:dist=12.11,radius=20.10 
[131] t=74.0390 pos=(10.920,14.579,0.008) vel=(19.242,-8.605,0.035) speed=21.078 gravAcc=(-2.814,-1.411,-0.002)   Capture:dist=12.66,radius=20.10 
[132] t=74.0790 pos=(11.687,14.234,0.009) vel=(19.135,-8.657,0.035) speed=21.002 gravAcc=(-2.646,-1.169,-0.002)   Capture:dist=13.21,radius=20.10 
[133] t=74.1190 pos=(12.425,13.901,0.011) vel=(17.897,-8.050,0.043) speed=19.624 gravAcc=(-2.481,-0.971,-0.003)   Capture:dist=13.77,radius=20.10 
[134] t=74.1390 pos=(12.738,13.760,0.011) vel=(17.855,-8.066,0.043) speed=19.593 gravAcc=(-2.412,-0.896,-0.003)   Capture:dist=14.01,radius=20.10 
